"ecosystem","name","version","declared_license","scope","source","checksum"
"npm","@esbuild/openbsd-x64","0.28.2","MIT","desarrollo","https://registry.npmjs.org/@esbuild/openbsd-x64/-/openbsd-x64-0.28.2.tgz","sha512-QtiuPytchRyC4rwUKhexJdQKvDuZ6hWloi3igqPQNUJCS1/v9EiO3UTOXR6A3FoMo4fnAKbWJdqaIwhOzh8qEw=="
"npm","@esbuild/openharmony-arm64","0.28.2","MIT","desarrollo","https://registry.npmjs.org/@esbuild/openharmony-arm64/-/openharmony-arm64-0.28.2.tgz","sha512-WkhYDmpTjLvGlScA1rwjRUmhl4k8oXR3cIbtqWmELgU/dFeHHlEllxDvdWcNJV9rbzCexB5vz8gtNewWLgCT7Q=="
"npm","@esbuild/sunos-x64","0.28.2","MIT","desarrollo","https://registry.npmjs.org/@esbuild/sunos-x64/-/sunos-x64-0.28.2.tgz","sha512-GPMSkTOtMnv2U2F8gxe4Io6qmVs+YKyp832Etqqxr0hFngmXQ3rzwytelm3GIn7T4VviRUlf3sOgBOiTdvaf7g=="
"npm","@esbuild/win32-arm64","0.28.2","MIT","desarrollo","https://registry.npmjs.org/@esbuild/win32-arm64/-/win32-arm64-0.28.2.tgz","sha512-PIhhEkE9uPBleRBrQEJpUn7MBnibZzbGzYWPmY3x+YoVg/95zbjB4CxPPOQ8l5tYYM4mMaCthF8/1DIfBQQyWQ=="
"npm","@esbuild/win32-ia32","0.28.2","MIT","desarrollo","https://registry.npmjs.org/@esbuild/win32-ia32/-/win32-ia32-0.28.2.tgz","sha512-YmJbfTlvU7Sdn9BB+4PRES4oB6pxgS37MAONj+hBr/cpXS1aBPKXxNnDbu+QCWPj0o9dgyxeq79g6c5P8KeuYA=="
"npm","@esbuild/win32-x64","0.28.2","MIT","desarrollo","https://registry.npmjs.org/@esbuild/win32-x64/-/win32-x64-0.28.2.tgz","sha512-5ebpxr3nWMzrL/rnUI755Jkuee0bHL/Gq0WTF9lvcpv73wAp5eu8MfBUgWK9bhWvZjj7yX8etf/8tI8Ney695g=="
"npm","@jridgewell/gen-mapping","0.3.13","MIT","desarrollo","https://registry.npmjs.org/@jridgewell/gen-mapping/-/gen-mapping-0.3.13.tgz","sha512-2kkt/7niJ6MgEPxF0bYdQ6etZaA+fQvDcLKckhy1yIQOzaoKjBBjSj63/aLVjYE3qhRt5dvM+uUyfCg6UKCBbA=="
"npm","@jridgewell/remapping","2.3.5","MIT","desarrollo","https://registry.npmjs.org/@jridgewell/remapping/-/remapping-2.3.5.tgz","sha512-LI9u/+laYG4Ds1TDKSJW2YPrIlcVYOwi2fUC6xB43lueCjgxV4lffOCZCtYFiH6TNOX+tQKXx97T4IKHbhyHEQ=="
"npm","@jridgewell/resolve-uri","3.1.2","MIT","desarrollo","https://registry.npmjs.org/@jridgewell/resolve-uri/-/resolve-uri-3.1.2.tgz","sha512-bRISgCIjP20/tbWSPWMEi54QVPRZExkuD9lJL+UIxUKtwVJA8wW1Trb1jMs1RFXo1CBTNZ/5hpC9QvmKWdopKw=="
"npm","@jridgewell/sourcemap-codec","1.5.5","MIT","desarrollo","https://registry.npmjs.org/@jridgewell/sourcemap-codec/-/sourcemap-codec-1.5.5.tgz","sha512-cYQ9310grqxueWbl+WuIUIaiUaDcj7WOq5fVhEljNVgRfOUhY9fy2zTvfoqWsnebh8Sl70VScFbICvJnLKB0Og=="
"npm","@jridgewell/trace-mapping","0.3.31","MIT","desarrollo","https://registry.npmjs.org/@jridgewell/trace-mapping/-/trace-mapping-0.3.31.tgz","sha512-zzNR+SdQSDJzc8joaeP8QQoCQr8NuYx2dIIytl1QeBEZHJ9uW6hebsrYgbz8hJwUQao3TWCMtmfV8Nu1twOLAw=="
"npm","@napi-rs/canvas","1.0.8","MIT","opcional; inclusion por verificar","https://registry.npmjs.org/@napi-rs/canvas/-/canvas-1.0.8.tgz","sha512-/SaLcvlqGWdm0HSCWMgHu7cjJiQXfP8/mOY+6dUyV9flQz7sPBBZ+ed2zYtoukojPmxOaL7bm+d/G4GeWWoN7g=="
"npm","@napi-rs/canvas-android-arm64","1.0.8","MIT","opcional; inclusion por verificar","https://registry.npmjs.org/@napi-rs/canvas-android-arm64/-/canvas-android-arm64-1.0.8.tgz","sha512-5+nkh8i3gt6lqS/d2jTZ1xAn6tdgtB4Lf1mW6T0Qm5/rXNwBuV1sAEyLEWan5o9gJPU/GuvHR3rvSeZ+FaGrbw=="
"npm","@napi-rs/canvas-darwin-arm64","1.0.8","MIT","opcional; inclusion por verificar","https://registry.npmjs.org/@napi-rs/canvas-darwin-arm64/-/canvas-darwin-arm64-1.0.8.tgz","sha512-7jQ47gi+fZ7KJmfc/5rNyy1CYw/cu4kZ0KPIYbo9UUgSdW0bKQJpt+WihEor6s4Lyp7+xc3a+3HeyXmAEbbnPg=="
"npm","@napi-rs/canvas-darwin-x64","1.0.8","MIT","opcional; inclusion por verificar","https://registry.npmjs.org/@napi-rs/canvas-darwin-x64/-/canvas-darwin-x64-1.0.8.tgz","sha512-rRjDMZs9pIRKGxgijwezplKc1RnJsqUokrA9h88bbTkqQ+7ePj0ZN4ZnZDy8Vu0tXs7KRlI2tQLaK4mx9QlxHg=="
"npm","@napi-rs/canvas-linux-arm-gnueabihf","1.0.8","MIT","opcional; inclusion por verificar","https://registry.npmjs.org/@napi-rs/canvas-linux-arm-gnueabihf/-/canvas-linux-arm-gnueabihf-1.0.8.tgz","sha512-jGcCd+8ra6Q61xKqZeiItujTpp9a9eRLcQ0jW6qYNku+WpupqOPFPY0SrsuSnXFviJwkpKYT9p7QrB4lsf3LNQ=="
"npm","@napi-rs/canvas-linux-arm64-gnu","1.0.8","MIT","opcional; inclusion por verificar","https://registry.npmjs.org/@napi-rs/canvas-linux-arm64-gnu/-/canvas-linux-arm64-gnu-1.0.8.tgz","sha512-od6I2Y7kU7i1SwZYG2EKW8rWz6JiedtPpko4WEe1DDsiikrfaotVBCRaUTM5/yeZKaZ92EatoAS+5xG+6uJlYA=="
"npm","@napi-rs/canvas-linux-arm64-musl","1.0.8","MIT","opcional; inclusion por verificar","https://registry.npmjs.org/@napi-rs/canvas-linux-arm64-musl/-/canvas-linux-arm64-musl-1.0.8.tgz","sha512-yYkPbJDJiWj6N0gASA3CAvRypZmVpJnxU0DQg3aBhneLDQde9TPLKADsQkobNoJUtTT/lj46aWpzT48PDb3Qcg=="
"npm","@napi-rs/canvas-linux-riscv64-gnu","1.0.8","MIT","opcional; inclusion por verificar","https://registry.npmjs.org/@napi-rs/canvas-linux-riscv64-gnu/-/canvas-linux-riscv64-gnu-1.0.8.tgz","sha512-PB00MSKAp4VwK/xwe6duKxRKmH8UH4GIl1pqHSbxng0jnU9Dr7FwaDypDiqwNFZ774N+8G7mJLGuLtg9NTcQsg=="
"npm","@napi-rs/canvas-linux-x64-gnu","1.0.8","MIT","opcional; inclusion por verificar","https://registry.npmjs.org/@napi-rs/canvas-linux-x64-gnu/-/canvas-linux-x64-gnu-1.0.8.tgz","sha512-TWM2XWJoitLiIPCvgJh7SriC+L/T9qkYCVzC66AidsZy0QP1hkKzBzVwshCdcA3q6fIn3yE0ISbq4lMJSy8jFw=="
"npm","@napi-rs/canvas-linux-x64-musl","1.0.8","MIT","opcional; inclusion por verificar","https://registry.npmjs.org/@napi-rs/canvas-linux-x64-musl/-/canvas-linux-x64-musl-1.0.8.tgz","sha512-hb20MxKXXb5IB7AAwN8UHz9WRsa2HmdZfjsDCzjElwJoeV1aotVEwFU4FrFQcYQVzsJQLeaCc/2Qdt/0Q72mMg=="
"npm","@napi-rs/canvas-win32-arm64-msvc","1.0.8","MIT","opcional; inclusion por verificar","https://registry.npmjs.org/@napi-rs/canvas-win32-arm64-msvc/-/canvas-win32-arm64-msvc-1.0.8.tgz","sha512-WwPN08IXE4SkL+FhJyPz/iFnycMAUkbphFIT4cmKLlvbSU0Zfn1R7BGJ3Hqky1S89QUYc0Q4IOScXb/42Re9wQ=="
"npm","@napi-rs/canvas-win32-x64-msvc","1.0.8","MIT","opcional; inclusion por verificar","https://registry.npmjs.org/@napi-rs/canvas-win32-x64-msvc/-/canvas-win32-x64-msvc-1.0.8.tgz","sha512-XkrVqKb+pxyba7kjy2LJvABFVBTE0DNpEl7MrG4OYUmaWarrXH+t54z/Czj2YxCKtizYTV4mg6phNm3x24qjhQ=="
"npm","@napi-rs/lzma-linux-x64-gnu","1.5.1","MIT","desarrollo","https://registry.npmjs.org/@napi-rs/lzma-linux-x64-gnu/-/lzma-linux-x64-gnu-1.5.1.tgz","sha512-oTXEIha4SsuXdTA4Iyskj0kpdx2yVXdhd75c2v3xGrHFfVMsbhTPZU/nMPL4sWKo4pBHm3aucLaqGlF696dTyQ=="
