"section","source","sha256"
"91","cargo toml_writer 1.1.2+spec-1.1.0 / LICENSE-MIT","6efb0476a1cc085077ed49357026d8c173bf33017278ef440f222fb9cbcb66e6"
"92","cargo serde_urlencoded 0.7.1 / LICENSE-MIT","b9eb266294324f672cbe945fe8f2e32f85024f0d61a1a7d14382cdde0ac44769"
"93","cargo serialize-to-javascript 0.1.2 / LICENSE-MIT","e53a7165e8bc3ced5e5628404b3d2d28ecc14ad720f1c09ba28385d5151ecf93"
"94","cargo sha1 0.10.7 / LICENSE-MIT","b4eb00df6e2a4d22518fcaa6a2b4646f249b3a3c9814509b22bd2091f1392ff1"
"94","cargo sha2 0.10.9 / LICENSE-MIT","b4eb00df6e2a4d22518fcaa6a2b4646f249b3a3c9814509b22bd2091f1392ff1"
"95","cargo simd-adler32 0.3.10 / LICENSE.md","42a35170233e83e18856792e748de4c1ce4a63b2afce9a370c89ef3fe23f9f2d"
"96","cargo siphasher 1.0.3 / COPYING","c962ee4d1d05ddc138b202b2540219ebc57893fcf97b364852094a9a94ce1365"
"97","cargo slab 0.4.12 / LICENSE","8ce0830173fdac609dfb4ea603fdc002c2f4af0dc9b1a005653f5da9cf534b18"
"98","cargo smallvec 1.15.2 / LICENSE-MIT","0b28172679e0009b655da42797c03fd163a3379d5cfa67ba1f1655e974a2a1a9"
"99","cargo softbuffer 0.4.8 / LICENSE-MIT","0463bfa47d6d763d8c824333efb0e6d6df3946c13c3b077c78ed9f23ca50d0f2"
"100","cargo spin 0.9.9 / LICENSE","6ac8711fb340c62ce0a4ecd463342d3fa0e8e70de697c863a2e1c0c53006003c"
"101","cargo sqlx 0.8.6 / LICENSE-MIT","44b1600a26039a75b28e1ce154a5dd163b16549f50e34fa577d9efe9c1bae179"
"101","cargo sqlx-core 0.8.6 / LICENSE-MIT","44b1600a26039a75b28e1ce154a5dd163b16549f50e34fa577d9efe9c1bae179"
"101","cargo sqlx-sqlite 0.8.6 / LICENSE-MIT","44b1600a26039a75b28e1ce154a5dd163b16549f50e34fa577d9efe9c1bae179"
"102","cargo stable_deref_trait 1.2.1 / LICENSE-MIT","5e05b024f653a5ce199e77cbbbd42fb5553562ec714b819421ed0c3e552a75d7"
"103","cargo subtle 2.6.1 / LICENSE","d1fc1bc0d155df60b2e7705b6b2ae02a05c96f948e1cec6e2fb86360b09f346b"
"104","cargo tao 0.35.3 / LICENSE.spdx","02b6448337b757772d90e5f31caaa0f9e6afaad2221c01771d0a3deaa4d4196c"
"105","cargo tauri 2.11.5 / LICENSE_MIT","9dd42ea92cff2ede5cd477cbfcce051b2d0115c0ac7f368ee88cb545055dff1d"
"105","cargo tauri-runtime 2.11.3 / LICENSE_MIT","9dd42ea92cff2ede5cd477cbfcce051b2d0115c0ac7f368ee88cb545055dff1d"
"105","cargo tauri-runtime-wry 2.11.4 / LICENSE_MIT","9dd42ea92cff2ede5cd477cbfcce051b2d0115c0ac7f368ee88cb545055dff1d"
"105","cargo tauri-utils 2.9.3 / LICENSE_MIT","9dd42ea92cff2ede5cd477cbfcce051b2d0115c0ac7f368ee88cb545055dff1d"
"105","npm @tauri-apps/api 2.11.1 / LICENSE_MIT","9dd42ea92cff2ede5cd477cbfcce051b2d0115c0ac7f368ee88cb545055dff1d"
"106","cargo tauri-plugin-dialog 2.7.2 / LICENSE.spdx","eb8a6c84630461b352badcab1dbe5d0168c56d377358b2b8c86b51003272d5ef"
"106","cargo tauri-plugin-fs 2.5.1 / LICENSE.spdx","eb8a6c84630461b352badcab1dbe5d0168c56d377358b2b8c86b51003272d5ef"
"106","cargo tauri-plugin-opener 2.5.4 / LICENSE.spdx","eb8a6c84630461b352badcab1dbe5d0168c56d377358b2b8c86b51003272d5ef"
"106","cargo tauri-plugin-sql 2.4.0 / LICENSE.spdx","eb8a6c84630461b352badcab1dbe5d0168c56d377358b2b8c86b51003272d5ef"
